ncpr,kappa
-0.04,0.5
0.04,0.3
0.0,0.71
-0.08,0.28
-0.04,0.08
-0.04,0.5
-0.25,0.71
0.04,0.32
-0.12,0.7
-0.12,0.52
-0.12,0.11
0.12,0.68
0.04,0.69
0.0,0.71
-0.17,0.09
0.0,0.08
-0.04,0.5
0.0,0.72
-0.08,0.28
-0.04,0.69
-0.12,0.52
0.0,0.71
-0.12,0.31
-0.21,0.51
-0.08,0.71
-0.08,0.69
-0.04,0.31
-0.12,0.52
0.04,0.28
-0.12,0.49
-0.04,0.5
0.0,0.71
0.08,0.5
0.12,0.11
0.0,0.29
0.08,0.31
0.0,0.11
0.0,0.69
0.08,0.09
0.0,0.51
-0.08,0.7
0.04,0.08
0.04,0.1
0.0,0.52
-0.21,0.48
-0.12,0.08
-0.08,0.72
-0.12,0.3
-0.04,0.69
0.08,0.7
0.04,0.28
-0.04,0.72
-0.04,0.5
-0.04,0.49
-0.04,0.5
0.21,0.09
-0.21,0.7
-0.12,0.1
0.04,0.1
-0.17,0.71
0.0,0.48
0.0,0.68
-0.04,0.31
-0.04,0.72
-0.25,0.08
-0.17,0.3
-0.04,0.3
-0.04,0.32
-0.08,0.29
-0.08,0.7
-0.12,0.11
0.0,0.11
-0.12,0.28
-0.12,0.31
-0.17,0.48
-0.21,0.72
-0.17,0.51
0.0,0.49
-0.04,0.31
-0.17,0.11
0.04,0.31
-0.08,0.3
-0.08,0.28
0.0,0.29
0.04,0.09
-0.17,0.5
-0.21,0.1
0.04,0.5
-0.08,0.68
0.04,0.5
0.04,0.3
-0.04,0.3
0.0,0.11
0.04,0.12
0.04,0.69
-0.08,0.29
0.08,0.7
0.0,0.29
-0.04,0.11
-0.04,0.69
-0.04,0.12
0.08,0.52
0.04,0.08
-0.08,0.1
-0.12,0.08
-0.04,0.11
0.0,0.3
-0.21,0.51
-0.08,0.3
-0.04,0.69
0.0,0.52
0.0,0.32
-0.04,0.5
-0.08,0.69
0.04,0.1
-0.12,0.52
0.0,0.09
0.0,0.48
-0.08,0.08
-0.04,0.49
